id,ancestor_list,origin_time,src,src_args,num_units,total_units,length,merit,gest_time,fitness,gen_born,update_born,update_deactivated,depth,hw_type,inst_set,sequence,cells,gest_offset,lineage
36210142,[36203129],199998,div:int,(none),1,1,109,0,0,0,32094,199998,-1,4836,0,heads_default,uujwjagcnawlpbyzayzrioAwykpjnpmmamuaxcxfzdqBapalyecubddycvxuyzAvqqbyfkqvkjApcrlzhuxbuuzvvcvvfcxvvgauujwjagcna,['1052'],['50'],['0']
36208647,[36207753],199991,div:int,(none),1,1,96,0,0,0,32075,199991,-1,4830,0,heads_default,cjbuylqwjcfzrjtancsuAmeypqnkuzvvvvvfkxvvgagcxwjaAergctjkhlrBrjflyqycjatsAdqpwypqoaBzmpayxecuhpcy,['1084'],['173'],['0']
36209130,[36207678],199993,div:int,(none),1,1,99,0,0,0,32101,199993,-1,4847,0,heads_default,wlkadtbyBjpayyecuAicycvcAufzyvdycyiwqAysvlzktoeyupzvvvvvfcxvvgbAyjwjagciilpogcaybaueBenzzkvxlsjpaja,['1104'],['142'],['0']
36209981,[36205090],199997,div:int,(none),1,1,100,0,0,0,32085,199997,-1,4826,0,heads_default,ihxwjagclduvkczbteblchnnsabjaznhyrAwufystrlzzjBpayhecuAxvyccauyvnczuocfwjkerkqcoablcncnzvvvvvfcxvvga,['1105'],['102'],['0']
36206899,[36204587],199982,div:int,(none),1,1,107,100,221,0.452489,32085,199982,-1,4838,0,heads_default,pxjwjagctiwubcdzacmcwiuoAiyksBbpmjqttmxpijzpqBapapjecuqocypvxxuyzpvqtrBnmjqviklobbulutbuuzvvvvvfcxvvgtpxcja,['1162'],['94'],['0']
36209636,[36204961],199996,div:int,(none),1,1,97,0,0,0,32073,199996,-1,4834,0,heads_default,gcxwjaAAAgctjaalcBvnfzeqyczodmsahbpwypqoxBzmpayxecuhpcycjbuyllsjcbznjtnncunAlejpqnkmzvvvvvfcxvvga,['1205'],['172'],['0']
36205956,[36196505],199977,div:int,(none),1,2,96,190,192,0.989583,32065,199977,-1,4820,0,heads_default,qrqwjagczyprssnuxsofutxocnmhasoAybewyphefBzjpaybecpAhcycjfuywobjikzpndbcqtBucnasicszvvvvvfcxvvga,['1283'],['191'],['0']
36207980,[36201774],199987,div:int,(none),1,1,113,0,0,0,32070,199987,-1,4828,0,heads_default,iehwjagcltuAwcsbhebBbhnrAbehazndyAAxvoycorfzzjBpayhecubxvycxcuyvniBxpocmwyscizqchabncncjzvvvvvfcxsvgwiehojaiehuja,['1298'],['490'],['0']
36209406,[36201774],199994,div:int,(none),1,1,114,0,0,0,32071,199994,-1,4828,0,heads_default,iehwjagcltuAwcsshebBbhznrAbehazndyAAxvoycorfzzjBpayhecubxvycxcuyvniBxpocmwyscizqchabncncjzvvvvvfcxvvgwiehojaiehuja,['1340'],['226'],['0']
36209682,[36202563],199996,div:int,(none),1,1,99,0,0,0,32074,199996,-1,4830,0,heads_default,AAwjagchBxhaoczhbaApaofAppntkAAxBrkjgmfzluBpalyyecuAdBvycxauyrnkbarfxkfnkiftywbxpbtvpazvvvvvfcxvvga,['1343'],['164'],['0']
